country,iso3,source_age_group,target_age_group,contacts_per_day,source,source_type
Australia,AUS,infant_0_2m,infant_0_2m,0.129993,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,infant_3_11m,0.389979,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,child_1_6y,2.493348,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,school_7_17y,1.114105,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,adult_18plus,5.748215,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,infant_0_2m,0.129993,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,infant_3_11m,0.389979,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,child_1_6y,2.493348,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,school_7_17y,1.114105,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,adult_18plus,5.748215,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_6y,infant_0_2m,0.103514,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_6y,infant_3_11m,0.310543,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_6y,child_1_6y,2.691016,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_6y,school_7_17y,2.474879,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_6y,adult_18plus,5.931692,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school_7_17y,infant_0_2m,0.02372,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school_7_17y,infant_3_11m,0.071159,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school_7_17y,child_1_6y,1.269166,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school_7_17y,school_7_17y,8.081774,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,school_7_17y,adult_18plus,8.550522,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,adult_18plus,infant_0_2m,0.021032,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,adult_18plus,infant_3_11m,0.063097,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,adult_18plus,child_1_6y,0.522776,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,adult_18plus,school_7_17y,1.469486,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,adult_18plus,adult_18plus,9.926187,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_0_2m,infant_0_2m,0.107956,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_0_2m,infant_3_11m,0.323868,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_0_2m,child_1_6y,2.719288,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_0_2m,school_7_17y,2.02798,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_0_2m,adult_18plus,9.589163,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_3_11m,infant_0_2m,0.107956,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_3_11m,infant_3_11m,0.323868,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_3_11m,child_1_6y,2.719288,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,infant_3_11m,school_7_17y,2.02798,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
