country,log_beta_S,beta_S,log_posterior,log_posterior_raw,posterior_weight,grid_half_width,grid_points,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target,grid_left_edge_drop,grid_right_edge_drop,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing
Brazil,-4.70782256296684,0.009024406280992145,-3285.6407345623434,-3285.4152827995104,4.8844383247465616e-17,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7077899461018395,0.009024700633633928,-3284.742473508233,-3287.1063354382595,1.199290654087792e-16,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.707757329236838,0.009024994995876738,-3283.862412666781,-3291.162989667555,2.891545406319036e-16,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.707724712371837,0.00902528936772087,-3283.000552037987,-3291.1895053214544,6.845912307118492e-16,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.707692095506836,0.009025583749166644,-3282.156891621851,-3289.184079171544,1.5915797139720986e-15,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.707659478641835,0.009025878140214376,-3281.331431418374,-3282.647364641788,3.633466885194077e-15,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.707626861776833,0.009026172540864385,-3280.524171427555,-3281.693705470231,8.145350291805103e-15,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.707594244911832,0.009026466951116969,-3279.735111649394,-3285.503373891944,1.7930569082973173e-14,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7075616280468315,0.009026761370972448,-3278.9642520838916,-3281.20094186469,3.87591397214321e-14,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.707529011181831,0.009027055800431137,-3278.2115927310474,-3279.8544333378754,8.227159798111095e-14,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
