country,outcome,parameter_variance,stochastic_variance,total_variance,parameter_variance_share
Australia,annualized_infections_per_100k,1033207.4016255882,3959819.7629740858,4993027.164599674,0.20693005817212046
Australia,annualized_reported_cases_per_100k,74.37916425866854,1602.2819236752007,1676.661087933869,0.04436147817465315
Australia,annualized_infant_cases_per_100k,3929272.1801374815,3749957.2335104053,7679229.413647886,0.5116753216350322
Australia,annualized_infant_infections_per_100k,17262274.136125527,16695453.162472539,33957727.298598066,0.5083459792327797
Australia,total_infections,59797404162074.13,231608540136465.16,291405944298539.3,0.20520310354689586
Australia,total_reported_cases,4597400079.127396,93988448450.2331,98585848529.36049,0.046633468674342385
Australia,total_infant_cases,23428907447.347763,22784321713.30198,46213229160.64974,0.5069740390982529
Australia,total_infant_infections,104884170064.3436,101362691550.68561,206246861615.0292,0.5085370475120999
Australia,resistant_infections,280627810966179.8,35767055071066.62,316394866037246.44,0.8869543759700068
Brazil,annualized_infections_per_100k,91252.96082267234,88240.61006940069,179493.57089207304,0.5083912497208128
Brazil,annualized_reported_cases_per_100k,0.037764873270406674,0.04961463208374926,0.08737950535415594,0.4321937177069463
Brazil,annualized_infant_cases_per_100k,22190.98475077463,17181.85792272817,39372.842673502804,0.5636114449442269
Brazil,annualized_infant_infections_per_100k,95577.3311810431,73185.99606889843,168763.32724994153,0.5663394573839573
Brazil,total_infections,292849060294412.56,278978810532627.4,571827870827040.0,0.5121279938154505
Brazil,total_reported_cases,119878452.42817809,161044079.35783717,280922531.7860153,0.42673135424926356
Brazil,total_infant_cases,6711179545.756852,5419295183.275398,12130474729.03225,0.553249538511034
Brazil,total_infant_infections,29899445125.211426,22050467074.72011,51949912199.93153,0.5755437085272077
Brazil,resistant_infections,739182779732147.9,165818777223284.44,905001556955432.2,0.8167751470161833
China,annualized_infections_per_100k,4148123.2181653725,1700217.733788521,5848340.9519538935,0.709282042932109
China,annualized_reported_cases_per_100k,799.0971629361352,305.13101115206746,1104.2281740882026,0.7236703261950148
China,annualized_infant_cases_per_100k,4662034.500151725,1668928.1494654333,6330962.649617158,0.7363863535719397
China,annualized_infant_infections_per_100k,19813856.98110487,7198735.169025416,27012592.150130287,0.7335044660276819
China,total_infections,5.0899078479450726e+17,2.081927391083498e+17,7.171835239028571e+17,0.7097078611407843
China,total_reported_cases,95598713575517.16,37843997191024.6,133442710766541.75,0.7164026646818294
China,total_infant_cases,20246294759922.703,7404452244983.32,27650747004906.023,0.7322151100051814
China,total_infant_infections,87593594237545.53,31638768908717.25,119232363146262.78,0.7346461306826079
China,resistant_infections,5.1015866130825856e+17,2.0846632801356467e+17,7.186249893218232e+17,0.7099094366168683
Japan,annualized_infections_per_100k,12930.816994030078,1568256.8935662943,1581187.7105603244,0.008177913923608598
Japan,annualized_reported_cases_per_100k,7.557003757922588,188.4569192935546,196.01392305147718,0.038553402943412175
