analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,relative_reduction_infant_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths
intervention_comparison,current,symptom_protective,country_timeline,current,2025-01-01,2050-12-31,2025,2050,4266838.811850717,23960486.8179463,397054.1461121917,186312.27119129302,398215.8596115764,215.82637607149204,206.39588993104957,22453720.736767646,0.9371145464352547,0.043,0.9992917669934708,29593145.57416978,299309.57456008694,26.013698630136986,3112.4501364215353,51.57705019198567,2392.8680214438573,5114.41350590357,0.280356922107252,2.6508083531780553,13779.646483658285,372488.4240482687,112795.45290969111,11172.139297301272,1470.0,9495.0,8,3.561643835616439,0.8219218647654992,0.1780781352345009,5.615512531525318,0.6482661421780823,0.5131473522180705,0.000719924048640884,0.029672298258615604,0.04116376721026752,0.5767101526605584,0.0,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,54.978665659530755,0.9381284462483966,0.06187155375160336,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,0.0,0.0,0.0
intervention_comparison,higher_child_coverage,symptom_protective,country_timeline,higher_child_coverage,2025-01-01,2050-12-31,2025,2050,4273310.823344966,23969486.997291587,400506.6157468422,194248.5111964044,401427.0291507774,219.89196960661437,210.44713781455118,22464802.442288704,0.93722499963504,0.043,0.9992873410314503,29593145.57814672,299309.574476746,26.013698630136986,3113.6192528763927,52.025523526416805,2494.795687972382,5155.655583626737,0.28563809905377935,2.7028398247800327,13893.133103238424,374495.8708094777,113312.47245851878,11264.150971526136,1470.0,9495.0,8,3.561643835616439,0.8217187199781196,0.17828128002188057,5.60911386701548,0.6465626710676634,0.5130688091210773,0.0007224390597243177,0.027164388472771715,0.03771805328896875,0.5809577902461985,-0.0003756258966551851,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,54.978665659530755,0.9462856710382528,0.053714328961747215,0.25,calibrated_country_scenario_analysis,-0.04259644281273878,-0.0003756258966551851,-0.008695211140484993,-0.0004935353766519768,-0.01883733401415033,-0.019628529835816977
intervention_comparison,adolescent_booster,symptom_protective,country_timeline,adolescent_booster,2025-01-01,2050-12-31,2025,2050,4268093.77648219,23966520.518175706,397164.1130301326,186347.92515199457,398295.97234990104,215.87378608980754,206.44119745741452,22458655.949533246,0.9370845439370756,0.043,0.9992918168586556,29593145.57814383,299309.57451310946,26.013698630136986,3113.2339093568494,51.59133480921173,2393.325937027416,5115.442420198955,0.2804185073450088,2.6513902526300277,13824.05715400778,372594.861981969,112888.83947461713,11208.146187373506,1470.0,9495.0,8,3.561643835616439,0.821914333653675,0.17808566634632497,5.615275055631317,0.6482665434524741,0.5131947507016492,0.0007199185022161779,0.02967147624849175,0.04116570421880741,0.5767094444829587,-0.000251818766256795,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,54.978665659530755,0.9383882673454477,0.06161173265455233,0.25,calibrated_country_scenario_analysis,-0.00019136667957275755,-0.000251818766256795,-0.0002769569818565909,-0.00021979487602341585,-0.00021966739737044882,-0.00021951758041338643
intervention_comparison,maternal_immunization,symptom_protective,country_timeline,maternal_immunization,2025-01-01,2050-12-31,2025,2050,4121228.1209152467,23675597.16346889,378358.647510892,170242.1221785386,360807.9774689091,106.03613212690655,96.68898015342032,22296022.628422786,0.9417301060868375,0.043,0.9992336515651051,29593145.576200854,299309.57453569514,26.013698630136986,3075.4431734270815,49.14851826377273,2186.473963804046,4633.9721249552085,0.13774017881563175,1.2418074621421196,11068.27874032534,358991.68976954353,101042.14185255786,8973.840658641557,1820.0,9495.0,9,2.9917808219178084,0.8259292852273123,0.17407071477268768,5.744791714711242,0.6936825420754733,0.5562676496240953,0.00096048738415269,0.025798644855756416,0.03587240415066281,0.6310510056849014,0.01188997772215672,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,0.2999979238042683,1.502232944079048e-16,Australia,54.978665659530755,0.8939561859892584,0.10604381401074159,0.25,calibrated_country_scenario_analysis,0.08625384098428324,0.01188997772215672,0.04708551411528916,0.007023250631537081,0.5086970644784292,0.531536310215668
intervention_comparison,maternal_direct_antibody_only,symptom_protective,country_timeline,maternal_direct_antibody_only,2025-01-01,2050-12-31,2025,2050,4245971.160013514,23921315.545643277,390398.8488749902,181233.99897601028,384507.8686488976,112.60405115259464,103.18770945730691,22410926.091818646,0.936860100735567,0.04299999999999999,0.9992803030125884,29593145.576976467,299309.57461198536,26.013698630136986,3107.36181581223,50.71253182612419,2327.6461485868836,4938.3573977221995,0.14627185874861565,1.325272718457179,13546.949508860467,368164.2801275813,111577.54748165995,10983.475313415278,1477.0,9495.0,9,3.116438356164384,0.8225026064343346,0.17749739356566535,5.6338855456491475,0.646142536372477,0.5119995967861017,0.001017368976990348,0.02581399946056919,0.0358452667019384,0.5834659012329791,0.001634827898141178,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,54.978665659530755,0.9224038309728054,0.07759616902719457,0.25,calibrated_country_scenario_analysis,0.02725677800400339,0.001634827898141178,0.01676168679352119,0.0019059043911117124,0.4782655706766129,0.5000495916281147
intervention_comparison,maternal_adult_boosting_only,symptom_protective,country_timeline,maternal_adult_boosting_only,2025-01-01,2050-12-31,2025,2050,4155160.9953515423,23752319.157582942,389293.32811204984,183270.62135797698,391519.2703440757,212.10627506921486,202.73339628705105,22386250.99397736,0.9424869565560101,0.043000000000000003,0.9992344437311027,29593145.579553656,299309.57451549126,26.013698630136986,3085.4093053537417,50.56892546366718,2353.803141247327,5028.407071282269,0.2755245374065072,2.6037697776126936,10904.503193782977,366266.3038430859,102608.91906555608,8841.056177707602,1813.0,9495.0,9,2.9917808219178084,0.8250629352113179,0.1749370647886821,5.71634148090895,0.6946368147846411,0.5562204924614645,0.0007125057807500844,0.029715472419698453,0.041268246745524845,0.6229405898386678,0.008687956214956438,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,54.978665659530755,0.9197917929989061,0.08020820700109388,0.25,calibrated_country_scenario_analysis,0.016325547500803506,0.008687956214956438,0.01954599410718405,0.0030048357499968814,0.017236544809726584,0.017744993106316387
intervention_comparison,maternal_cocooning_only,symptom_protective,country_timeline,maternal_cocooning_only,2025-01-01,2050-12-31,2025,2050,4256927.201254571,23928385.42784521,392693.71729517187,177934.9446066073,380090.3050827055,206.20896667100976,196.78743940275416,22415235.130876955,0.9367633766377143,0.043,0.999281569323225,29593145.578970127,299309.5745278806,26.013698630136986,3108.2801882548115,51.01063359253302,2285.2753399972876,4881.62121891204,0.2678639758945556,2.5274039536336548,13673.815730287239,369613.52590138285,112323.48823356212,11086.33478154526,1477.0,9495.0,8,3.561643835616439,0.8220971818557876,0.1779028181442125,5.621046425410613,0.6478696505774335,0.5129989226688654,0.0006866030987991671,0.02960932462266846,0.0410804726397096,0.5764932502162562,0.001339763684477635,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,0.2999979238042683,1.502232944079048e-16,Australia,54.978665659530755,0.9278259663199036,0.07217403368009645,0.25,calibrated_country_scenario_analysis,0.044963901363665015,0.001339763684477635,0.010981950093496229,0.0017139968178044862,0.044560862187189465,0.04655349741463011
intervention_comparison,resistance_guided_treatment,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2050-12-31,2025,2050,4008431.6623049974,22500651.171307642,355791.3119849919,154493.05469009173,328891.1929612001,177.58799300783082,169.15987971991547,9225083.318683416,0.4099918375005541,0.043000000000000003,0.8514139351733272,29593145.59632665,299309.5746788689,26.013698630136986,2922.818525657912,46.217037454629036,1984.2036576153578,4224.054662781839,0.23068553525223606,2.1725743771157155,4581.938705893879,664558.5277323511,403380.75957516534,3714.9035407386864,9135.0,9495.0,9,3.126027397260274,0.8218526374287131,0.17814736257128708,5.613330366313125,0.6245562167156319,0.4958165513417103,0.0006232283536415818,0.028932868953672558,0.04020293260912579,0.5547971867991921,0.060926794089394165,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,54.978665659530755,0.840635852111066,0.15936414788893405,0.25,calibrated_country_scenario_analysis,0.1707843305099933,0.060926794089394165,0.10392243609903173,0.5891512401515944,0.17717196461193807,0.18041061875589426
intervention_comparison,next_generation_vaccine,next_generation,country_timeline,next_generation_vaccine,2025-01-01,2050-12-31,2025,2050,2963198.884263376,15821823.615912717,218041.89209078322,85197.09222269928,153002.73214557156,110.8770449753561,104.40919057480389,14464045.440266322,0.9141832061456673,0.043000000000000003,0.998399993081101,29593145.587271072,299309.5745914131,26.013698630136986,2055.243594345492,28.32348614781987,1094.2134738352688,1965.0629696336925,0.14402849000058954,1.340960590774082,8086.418594789573,192418.42056500664,64683.21139403439,6556.234596033528,2205.0,9495.0,8,3.712328767123288,0.8127144533906221,0.18728554660937782,5.33944032577006,0.4595684127979924,0.41721843218330895,0.00024918709009066203,0.02586146663551706,0.03209764884938092,0.40136011022300383,0.3396701938433805,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,54.978665659530755,0.5151723092593807,0.48482769074061927,0.25,calibrated_country_scenario_analysis,0.5427188360812553,0.3396701938433805,0.45085098789228295,0.3558285680207265,0.4862674016329297,0.4941314451092813
intervention_comparison,combined_strategy,transmission_blocking,country_timeline,combined_strategy,2025-01-01,2050-12-31,2025,2050,2944519.7873482713,16819690.191540714,230224.86012445504,80243.901567266,168376.92517060583,52.60613814383379,46.4464839638256,3956132.368377014,0.23520839702307414,0.043,0.5413809207533133,29593145.57301358,299309.5744359977,26.013698630136986,2184.865751311193,29.906045013796717,1030.598064357548,2162.518643461498,0.0683349979876647,0.5965270323902006,3466.161191618554,417760.10718064936,244211.0710262391,2810.26336227666,7308.0,9495.0,8,3.43013698630137,0.8249361460397655,0.17506385396023444,5.712201447519536,0.6224735366550722,0.5158489243797252,0.0006514738371270498,0.025246395505978597,0.034807498351545924,0.5617681689604206,0.2980238540502925,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,0.2999979238042683,1.502232944079048e-16,Australia,54.978665659530755,0.5439572724263161,0.4560427275736839,0.25,calibrated_country_scenario_analysis,0.5693042597023741,0.2980238540502925,0.4201675958336356,0.8238094962186421,0.7562571401078053,0.7749641042787144
