analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,strategy,coverage_floor_applied,timeliness_applied,timeliness_rate_per_year,timeliness_max_daily_flow_fraction,implementation_note,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,relative_reduction_infant_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths
routine_timeliness_sensitivity,current,symptom_protective,country_timeline,current,2025-01-01,2050-12-31,2025,2050,4266289.636175333,23957381.69848727,396995.70049091056,186277.52723280666,398145.8835200989,215.793118302691,206.3639558970604,22451451.346508823,0.9371412798388759,0.043,0.9992877347232507,29595963.62985433,299349.1406811048,26.013698630136986,3111.7504620932386,51.56454782909866,2392.105578144959,5112.83890779578,0.28028702971215735,2.650047900906854,13780.80779851248,372465.8831389243,112776.59718088846,11174.144832733926,1470.0,9495.0,8,3.557729941291585,0.8219217070601369,0.17807829293986316,5.615507558451826,0.6485710045124623,0.5134191874440295,0.0007199728131055171,0.02967381540664117,0.04116602091287336,0.5770111953798424,0.0,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,current,False,False,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.,54.978665659530755,0.9379010423502294,0.06209895764977058,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,0.0,0.0,0.0
routine_timeliness_sensitivity,coverage_floor_only,symptom_protective,country_timeline,higher_child_coverage,2025-01-01,2050-12-31,2025,2050,4274998.129845414,23981778.927231267,398387.1076757238,186668.2989623039,398994.3691692325,216.26084203198087,206.81636586040185,22470554.59761449,0.9369844774984234,0.043000000000000003,0.9992937030886158,29595963.637159277,299349.1412836073,26.013698630136986,3114.919342163447,51.745273406660196,2397.1237161300546,5123.734829399513,0.2808945415775889,2.6558575732664433,13929.620072370843,373550.1810277235,113389.68992173148,11294.809017570724,1470.0,9495.0,8,3.557729941291585,0.8217397407082607,0.17826025929173928,5.609775302544626,0.6486623931343444,0.5142030347598352,0.0007208691199581124,0.029682412738132484,0.04119017163615731,0.5770689396400964,-0.0010183595624533304,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,coverage_floor_only,True,False,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.,54.978665659530755,0.9411882370355411,0.05881176296445889,0.25,calibrated_country_scenario_analysis,-0.0020977931976133846,-0.0010183595624533304,-0.003504841949403037,-0.0008508693184610117,-0.0021674636011042026,-0.002192291582000516
routine_timeliness_sensitivity,timeliness_only,symptom_protective,country_timeline,current,2025-01-01,2050-12-31,2025,2050,4015249.082910862,23574784.22946322,340343.45298013336,127133.32913506276,357114.9765379223,182.82833734463816,173.86942631356726,22007469.282064218,0.9335173152745039,0.043,0.9993255351931387,29595963.650280677,299349.14152328647,26.013698630136986,3062.056054054617,44.20616199546015,1632.5981424289007,4585.935500123364,0.23747009167499644,2.2327654310314258,12021.027786357809,332765.374261069,100127.1399202009,9747.23017545369,1470.0,9495.0,8,3.557729941291585,0.8296803464316466,0.17031965356835363,5.871313022596506,0.6717126470249833,0.5225863714240893,0.0006736958511729441,0.016621986640008902,0.049295135127387556,0.6051218294064139,0.015969919995397874,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,timeliness_only,False,True,6.0,0.03,Current coverage with faster routine-vaccination relaxation and earlier infant/child vaccine-origin targets.,54.978665659530755,0.8040602925727217,0.1959397074272783,0.25,calibrated_country_scenario_analysis,0.31750581498661634,0.015969919995397874,0.14270242080889817,0.01977520551310119,0.1527610389864864,0.1574622343433959
routine_timeliness_sensitivity,coverage_floor_plus_timeliness,symptom_protective,country_timeline,higher_child_coverage,2025-01-01,2050-12-31,2025,2050,4018772.8270248813,23574946.278445456,341030.29004795797,127218.16787531345,357370.4362945168,182.95956225511185,173.99837165805226,22011621.139112677,0.9336870115898366,0.043,0.9993252570826907,29595963.643418618,299349.14207459765,26.013698630136986,3062.077102807369,44.29537315528793,1633.687606444102,4589.216009273825,0.23764053572128846,2.2344212942747057,12032.30113943661,333293.6119507894,100226.69226008863,9756.371152587131,1470.0,9495.0,8,3.557729941291585,0.8295320473031472,0.1704679526968526,5.866205255473003,0.6718798420336799,0.5233720084502783,0.0006742169115850994,0.016628734671506714,0.049324213067346384,0.6052526773832416,0.01596315594312059,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,coverage_floor_plus_timeliness,True,True,6.0,0.03,Coverage floors plus faster routine-vaccination relaxation and earlier infant/child vaccine-origin targets.,54.978665659530755,0.8056829430819256,0.19431705691807444,0.25,calibrated_country_scenario_analysis,0.3170503722850142,0.01596315594312059,0.1409723338911424,0.019590279515027342,0.15215293381841688,0.15683739002925934
routine_timeliness_sensitivity,current,symptom_protective,country_timeline,current,2025-01-01,2050-12-31,2025,2050,32214779.23804468,167400040.23094398,6974830.921272707,570527.2010922928,1143673.4744267864,1167.5681762941092,1076.5716617382739,167354237.3262612,0.999726386537186,0.997,0.9999289053969659,1342464930.3360868,7998122.285106549,26.013698630136986,479.3475413145838,19.972325266974355,274.2118448687274,549.6824914738197,0.033433142181544015,0.517431422960127,2285.6031604609784,2007259.2552214013,195181.69584243093,84064.16678312841,3150.0,9495.0,8,3.2876712328767117,0.8075581153170488,0.192441884682951,5.196373968419116,0.2927495408637603,0.22381902820287322,1.3377458200890633e-05,0.017461281678510406,0.02507700408382434,0.25019787764322465,0.0,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,2.010611200412732e-05,1.6667804836994706e-16,China,current,False,False,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.,4.430832490427902,4.507578499101768,3.5075784991017684,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,0.0,0.0,0.0
routine_timeliness_sensitivity,coverage_floor_only,symptom_protective,country_timeline,higher_child_coverage,2025-01-01,2050-12-31,2025,2050,32583167.91058316,169125504.23050764,7078407.246709071,577963.6774653819,1158611.4816827895,1182.6378571022813,1090.5750470562216,169079788.87458384,0.9997296956710828,0.997,0.9999332693780117,1342464927.470107,7998122.185136113,26.013698630136986,484.2883830118127,20.268914587451537,277.78603358859704,556.8621360053323,0.03386466033674097,0.5241618607954663,2268.20229442695,2034880.28978893,197720.0281344654,83424.1651691892,3150.0,9495.0,8,3.2876712328767117,0.8073432622783241,0.19265673772167627,5.190578911621878,0.2932177393360469,0.22501186420688513,1.3413049298931428e-05,0.017490284937228283,0.02516036157019191,0.25055367977932774,-0.010307428822497355,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,2.010611200412732e-05,1.6667804836994706e-16,China,coverage_floor_only,True,False,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.,4.430832490427902,4.574516105323154,3.574516105323154,0.25,calibrated_country_scenario_analysis,-0.013034394081214318,-0.010307428822497355,-0.014850012366674603,-0.010310772980062888,-0.012906895814858155,-0.01300738800363499
routine_timeliness_sensitivity,timeliness_only,symptom_protective,country_timeline,current,2025-01-01,2050-12-31,2025,2050,27876419.098236967,146455681.5297147,5822070.340245748,378281.56071131804,953343.2617554527,943.0048392438734,863.5211685236125,146410023.39783737,0.9996882460864581,0.9969999999999999,0.999884835754693,1342464929.2955334,7998122.26659667,26.013698630136986,419.3736800205279,16.671412391958587,181.81304008632256,458.2042971897457,0.027002804232666894,0.41503320577654124,1916.7518596548703,1689297.1035912256,144722.87041629117,70497.86711640158,3510.0,9495.0,9,3.1335616438356166,0.8096596949529672,0.19034030504703267,5.253748015970144,0.2939821211881054,0.2224188320711937,1.3135762770324629e-05,0.009725656570611679,0.02957712585260354,0.2546662030021198,0.12511561330770637,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,2.010611200412732e-05,1.6667804836994706e-16,China,timeliness_only,False,True,6.0,0.03,Current coverage with faster routine-vaccination relaxation and earlier infant/child vaccine-origin targets.,4.430832490427902,3.762591438059209,2.762591438059209,0.25,calibrated_country_scenario_analysis,0.3369613929237979,0.12511561330770637,0.165274340559443,0.1251489909251151,0.19233423932725324,0.19789717748158253
routine_timeliness_sensitivity,coverage_floor_plus_timeliness,symptom_protective,country_timeline,higher_child_coverage,2025-01-01,2050-12-31,2025,2050,27909561.466980055,146630908.72875375,5828636.548386363,378713.1031474556,954441.9747031359,944.1166454313088,864.5264616145785,146585269.62826943,0.9996887484304641,0.9970000000000001,0.9998853375960537,1342464930.8079531,7998122.287851643,26.013698630136986,419.875440042775,16.690214613143286,182.0204513572053,458.732369136128,0.02703464060810561,0.4155163775573484,1928.925292821561,1691277.8651591896,145429.8453375593,70945.60437702487,3510.0,9495.0,9,3.133561643835616,0.8096611300513131,0.190338869948687,5.253787627664216,0.29400064933118314,0.22244740223717208,1.3135461763888456e-05,0.009725568885800147,0.029618237580419694,0.25464370740319947,0.12406885609786755,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,2.010611200412732e-05,1.6667804836994706e-16,China,coverage_floor_plus_timeliness,True,True,6.0,0.03,Coverage floors plus faster routine-vaccination relaxation and earlier infant/child vaccine-origin targets.,4.430832490427902,3.766834934337915,2.766834934337915,0.25,calibrated_country_scenario_analysis,0.3362050005286389,0.12406885609786755,0.1643329258907965,0.12410183351080706,0.1913819984131815,0.19696338633075205
routine_timeliness_sensitivity,current,symptom_protective,country_timeline,current,2025-01-01,2050-12-31,2025,2050,6670364.199277248,34949095.094446495,486517.13057564275,222187.25079100675,462716.0267302757,287.8108539930243,271.2096936054827,29656657.572319075,0.8485672516605901,0.0030000000000000005,0.9989914169819109,72519115.48203805,680692.9521465214,26.013698630136986,1852.598604010323,25.78953630976174,1254.77476723302,2613.131008500556,0.1525641750911091,1.5316228944443668,6421.344376962882,532684.6853767642,179155.5679663823,12758.088066381011,3120.0,9495.0,8,3.287671232876712,0.8091405748488981,0.19085942515110174,5.239458303975864,0.4406340641677675,0.32474821717296737,0.0004539582354187324,0.02794595884009362,0.03894758052995515,0.37328656656229997,0.0,True,United_Kingdom,GBR,2025,False,nearest_past_year,2024,measured_national_surveillance_fraction,https://www.postersessiononline.eu/173580348_eu/congresos/UKHSA2025/aula/-P_58_UKHSA2025.pdf,"UKHSA national reference laboratory poster: 661 B. pertussis isolates received from June 2023 to November 2024, with 2 predicted and phenotypically confirmed macrolide-resistant isolates.",United_Kingdom,GBR,3,relative_detection_prior_mean,United_Kingdom,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/United_Kingdom_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,8359.386799731114,8359.386799731114,True,6.047227433250013e-05,1.6570722974665014e-16,United_Kingdom,current,False,False,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.,7.268426842942312,3.548159301459234,2.548159301459234,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,0.0,0.0,0.0
routine_timeliness_sensitivity,coverage_floor_only,symptom_protective,country_timeline,higher_child_coverage,2025-01-01,2050-12-31,2025,2050,6770543.752380223,35387555.63491806,496279.9491945137,225781.33542898868,470230.5048817232,292.45249381471086,275.639150245946,30137129.751361355,0.8516307275437828,0.003,0.9990326649912609,72519115.49069296,680692.9525266432,26.013698630136986,1875.8407330317432,26.307048536785675,1275.0719109295078,2655.5680844817284,0.15502463804904135,1.5566376971032798,6551.0402656977185,542625.0940036604,180640.9132481269,13015.771112666103,2760.0,9495.0,9,3.133561643835616,0.8086744441399195,0.19132555586008054,5.226693295125279,0.4414186038442016,0.32721080540159514,0.00045569951226175125,0.027976871171611628,0.039044485908811585,0.3739415472515167,-0.012545690790753294,True,United_Kingdom,GBR,2025,False,nearest_past_year,2024,measured_national_surveillance_fraction,https://www.postersessiononline.eu/173580348_eu/congresos/UKHSA2025/aula/-P_58_UKHSA2025.pdf,"UKHSA national reference laboratory poster: 661 B. pertussis isolates received from June 2023 to November 2024, with 2 predicted and phenotypically confirmed macrolide-resistant isolates.",United_Kingdom,GBR,3,relative_detection_prior_mean,United_Kingdom,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/United_Kingdom_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,8359.386799731114,8359.386799731114,True,6.047227433250013e-05,1.6570722974665014e-16,United_Kingdom,coverage_floor_only,True,False,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.,7.268426842942312,3.6193593339018033,2.6193593339018033,0.25,calibrated_country_scenario_analysis,-0.016175926499772952,-0.012545690790753294,-0.02006675203259478,-0.016201157459185156,-0.016127396716591802,-0.016332220952642862
