analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,VE_sus,VE_sym,VE_inf,VE_dur,infectious_duration_symptomatic,infectious_duration_asymptomatic,waning_rate_vaccine,waning_rate_natural,relative_infectiousness_asymptomatic,seasonal_amplitude,multi_year_amplitude,treatment_rate_symptomatic,PEP_coverage,PEP_effectiveness_resistant,fitness_R,reporting_rate_multiplier,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,corr_VE_sus_infant_cases,corr_VE_sym_infant_cases,corr_VE_inf_infant_cases,corr_VE_dur_infant_cases,corr_infectious_duration_symptomatic_infant_cases,corr_infectious_duration_asymptomatic_infant_cases,corr_waning_rate_vaccine_infant_cases,corr_waning_rate_natural_infant_cases,corr_relative_infectiousness_asymptomatic_infant_cases,corr_seasonal_amplitude_infant_cases,corr_multi_year_amplitude_infant_cases,corr_treatment_rate_symptomatic_infant_cases,corr_PEP_coverage_infant_cases,corr_PEP_effectiveness_resistant_infant_cases,corr_fitness_R_infant_cases,corr_reporting_rate_multiplier_infant_cases
sensitivity,lhs_001,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,60312799.02136364,288327403.5841814,10147376.37791619,1077933.0419570403,1749100.7816035163,2268.351443150495,2102.356547548088,288314914.2815163,0.9999566836085996,0.9969999999999999,0.9999745221543654,1342074036.728353,8056766.5933860475,26.013698630136986,825.8617303159459,29.065325423312597,514.314653086304,834.5492036037315,0.06497282688074393,1.003098278212913,5362.078323064104,72736947.40687373,763100.2604010096,197159.0712407737,1694.0,9439.0,7,3.829223744292238,0.790818360406889,0.20918163959311079,4.780534285633997,0.2314991841914029,0.20549196108579476,8.066009003252093e-06,0.012588306308289585,0.017065986937302505,0.20183682493680755,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.6678874445829,0.45897287685486327,0.39050841779875956,0.24133650511444224,19.540248779260097,8.154818940113897,0.0008838381301520932,0.0004031042870276109,0.8073429226183598,0.09418130635926064,0.023964380228671655,0.06756856470634076,0.5231130204609343,0.08036755509765217,1.023438915029888,0.7458196636952403,4.430832490427902,6.5597888175875605,5.5597888175875605,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_002,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,115931202.440079,593228164.4048941,22054546.78614703,2370802.9568469645,4469600.715879358,5184.396597912877,4843.4568194798585,262133979.37737557,0.44187716481792344,0.9970000000000001,0.004640317100915527,1342073893.1803112,8056766.548410745,26.013698630136986,1699.195028428122,63.17126950782931,1131.1822345474052,2132.58251206469,0.14849768526095541,2.3109606355813033,16483.773554984647,224310941.2884164,5659878.4969854895,606094.3054586549,1680.0,9341.0,6,4.598904109589041,0.8045756938118791,0.19542430618812098,5.117070744707527,0.29347981871519685,0.24085253117331154,1.3135457292465978e-05,0.014096641302511304,0.019769880437466834,0.25960016151792625,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.3725005454731517,0.8313000739205341,0.20878480107179137,0.23398628633215154,25.547785102244916,18.76151274854754,0.000762579093511571,0.00041538568860526037,0.40747541689882116,0.21248292230495047,0.06048461743441839,0.08609262521530418,0.20613435475354946,0.24304482887957135,0.9087224023598544,0.8443115131318131,4.430832490427902,14.257201021320627,13.257201021320627,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_003,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,59142626.41546881,291094283.38256246,18330469.374617666,1083401.878189605,1892651.9741285595,2238.2661286738416,2074.699102669554,289352897.26958233,0.994017793504067,0.997,0.9889943979897411,1342074184.7936413,8056766.658628293,26.013698630136986,833.7868653768552,52.504310366901734,516.9239970697195,903.0418381434714,0.0641110803558276,0.989902061699413,7536.101902877814,78583012.36559907,2217234.384012237,277096.1045979877,1694.0,9495.0,7,3.995433789954338,0.7968265617303715,0.20317343826962855,4.921903219814169,0.25972541117476977,0.21175740485025868,1.0712676548917944e-05,0.013666371165314082,0.019226349145728138,0.22682197818717872,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.4262915875084805,0.6190223396604178,0.5379781097403421,0.1587275368678514,24.730768197009127,20.253342603307214,0.0006163093051673651,0.00044339981736872856,0.30283697289365147,0.23062980359981083,0.17574647112274538,0.054498126547579684,0.336821560985765,0.2948294847388003,0.957110384725402,1.4959130498418909,4.430832490427902,11.849761975955717,10.849761975955717,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_004,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,152762684.13379997,723366427.1433794,32974406.09249538,3823009.072986983,6292145.78379495,7694.7023136399275,7230.030548367034,723276671.4913205,0.9998759195219864,0.9970000000000001,0.9999973234583843,1342074250.9742982,8056766.660574615,26.013698630136986,2071.9520461081547,94.44921081332535,1824.0739379805443,3002.1741824502365,0.22040080386229072,3.4496675373504644,18429.69704499218,149656885.83322936,10809885.873586994,677644.4344477018,203.0,9495.0,7,4.011415525114155,0.7888170111279985,0.21118298887200176,4.735229884477585,0.3102840087354034,0.2568834524846559,1.4065576541526522e-05,0.014966883777647757,0.020217337688364104,0.27508572169285006,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.4950456385319847,0.42230504709580297,0.329153435307964,0.11613652772375399,16.082692916909608,19.906008954340884,0.0006071621780086925,0.0003968393993225405,0.47182159746712465,0.34014064763386637,0.0896363886943527,0.05730063881200613,0.29069594458049236,0.43463846294863057,1.1930768447345728,0.8815591541735432,4.430832490427902,21.31635782155331,20.31635782155331,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_005,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,56270455.988203615,273353019.8673253,16239205.58094694,1009253.9691099911,1668965.483128114,2183.3225386429895,2014.9485562791754,34195574.859168805,0.12509675172334286,0.997,0.007649581197350853,1342074029.9342682,8056766.604995908,26.013698630136986,782.9703188502078,46.51426926894522,481.5457770070637,796.3142132397297,0.06253732792357146,0.9613932645896506,6049.486088314577,60370567.726908505,3897301.633003245,222434.47050892154,3143.0,9495.0,7,4.001826484018265,0.7941473044068983,0.20585269559310176,4.857842629258776,0.22212180796516773,0.19434895491464005,8.009965307587879e-06,0.012947375757788239,0.017101206164502846,0.19206521607756905,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.6787078944429897,0.5658607615862848,0.16298969221321694,0.4566019622584963,22.591625574721096,10.504646924778445,0.0006729458409978254,0.0002990994188051079,0.6567799343435503,0.2686827082991883,0.09497949423095191,0.050410321890540066,0.3250307388417044,0.17313004331741896,0.8972810311899497,1.435133916100261,4.430832490427902,10.497862279702918,9.497862279702918,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_006,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,22836.53742748819,106252.88280742527,5656.217828411403,556.3101991323726,953.0958446901177,1.0370119647160847,0.9807209327916164,105553.3987460295,0.9934167992160409,0.997,0.9962123653586414,1342073882.9638295,8056766.52359794,26.013698630136986,0.304342211698656,0.01620121542366093,0.2654325254136835,0.4547510317300317,2.9703336658796642e-05,0.0004679318019387971,0.5974654474382558,45477.041976530985,0.38189255769908015,21.968295150141966,6020.0,9495.0,7,4.005022831050229,0.7850737144809748,0.21492628551902504,4.652758026246543,0.31041756978885227,0.25547745539623673,1.620331522501606e-05,0.01751315725659927,0.02502272296179854,0.2678654862552294,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.26961233700895765,0.4845110732311424,0.12433585487353212,0.06233845579073186,15.120057027490493,7.25095730460047,0.001087705574882412,0.00032978877196684485,0.31563232312336825,0.2839555232113729,0.1037718501635,0.08384470847396341,0.4712560937161576,0.1591803475842807,0.739973031484403,0.9236898204742525,4.430832490427902,0.0036564721096229748,0.9963435278903771,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_007,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,106326627.05693719,543428070.6819057,28906247.34282419,2192498.172924293,4125916.628297803,4688.556483734597,4373.389835454485,15640712.634518616,0.028781569223857537,0.997,0.0007663038764534216,1342074095.225717,8056766.676130912,26.013698630136986,1556.5514120920666,82.79671689262571,1046.1075797171743,1968.6003443216987,0.13429521972011554,2.0866773402255228,7577.09814278169,145228629.81711066,7131158.192335258,278603.48313452594,1673.0,9495.0,7,4.104109589041097,0.8043409371114816,0.19565906288851834,5.1109311535943265,0.2970770453003017,0.2404216280947575,1.3517927730416557e-05,0.014180454168298546,0.020040315007327912,0.2628427581969448,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.3241107557302696,0.7990796649646794,0.25436645074809566,0.27777643808925107,19.89293171804446,17.25508552859685,0.00069465977078894,0.0002529433437045133,0.5095470136839505,0.08464295629263094,0.035977168008442036,0.07181864314229851,0.2567229097955502,0.39619278690863347,0.7188866458009406,1.2699120390588972,4.430832490427902,18.686492227249538,17.686492227249538,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_008,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,54076461.96424617,269093064.40070724,13925595.51909525,998945.7157558878,1769903.486527061,2117.8820331350644,1962.4342100001934,182192202.1338402,0.6770601930584776,0.997,0.08240578775889039,1342074115.9520712,8056766.625888563,26.013698630136986,770.7683969708811,39.887348858366636,476.6273944489217,844.4748036895348,0.06066289903414744,0.9363370697095931,2046.597474183735,105260175.02560167,3161659.372529759,75251.65742122954,224.0,9495.0,7,3.9986301369863018,0.799041784727232,0.20095821527276808,4.976158842984661,0.25584588143360953,0.208576000969229,1.0517263440741323e-05,0.014054922660441489,0.019475614364229614,0.22230482714549776,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.4619939314859506,0.6941113285015434,0.10592472251005303,0.3402416498069288,26.215119554968613,12.539809882515744,0.0005675172278590173,0.0004573200867698921,0.47500498430293314,0.31714052651633734,0.020586989207265212,0.0876258468583782,0.4902595008446545,0.3830508520563862,0.9287683090263341,1.2140577009976807,4.430832490427902,9.002224513008969,8.002224513008969,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_009,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,194614200.07436746,971251824.6703341,31858701.975638404,5582757.377555315,9725032.40098994,12261.795359979393,11562.522492292157,971231341.6894672,0.9999789107414302,0.997,0.9999906868274449,1342074248.3448281,8056766.653711329,26.013698630136986,2781.974852360525,91.25347873107756,2663.7033940350248,4640.108831840565,0.3512169086305919,5.516831257999581,32062.44506934671,182868247.9692821,1003843.2574532039,1178909.0922339954,8974.0,9429.0,6,4.802191780821917,0.7996253956687042,0.200374604331296,4.990652399974883,0.33492816519734914,0.2596483132644473,1.6371769834534322e-05,0.017555550956166698,0.02282392651773426,0.29453231595361357,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.5293113077462347,0.6508463315304478,0.08283915787716192,0.3646089032247137,23.24890817419483,16.643760360512502,0.0002565569439789548,0.00037166646456303495,0.590145300580443,0.3097611474660262,0.0491272634189204,0.04002529231439821,0.2220929413140189,0.034176151594268005,1.2175413237591357,0.6657946856617678,4.430832490427902,20.595109142179478,19.595109142179478,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
sensitivity,lhs_010,sampled,country_timeline,,2025-01-01,2050-12-31,2025,2050,40787074.7122623,205016029.92699614,9277381.995107621,699754.6220767021,1236558.4462944407,1551.8126948651643,1434.6091100221258,204997080.01018465,0.9999075686090583,0.997,0.9999812687711517,1342074191.4212248,8056766.585954591,26.013698630136986,587.2312919179909,26.573380708541258,333.87422225917953,589.999660608632,0.044448864508053514,0.6844956585396712,3229.8177938678045,45944429.15361104,450321.0882704512,118757.67408611008,1729.0,9495.0,7,3.992237442922374,0.8010542164591417,0.19894578354085832,5.02649506916856,0.23581062628738894,0.1968171666145711,8.710047769321798e-06,0.013721721539891296,0.0184871921688533,0.20359300253087503,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,5733.057803797115,5732.98521338555,True,4.3354243129576535e-05,1.6667804836994706e-16,0.5823452629241378,0.7816721134818125,0.24275734432595608,0.06416824101853116,18.218772826097926,16.38639339297883,0.0005213648356255322,0.0003479915241779682,0.34510646107768567,0.06744024726247172,0.16103490412086813,0.06075526770792468,0.17315085649824713,0.28168711451201806,1.072092033974929,1.1013395525895056,4.430832490427902,5.997378769328056,4.997378769328056,0.25,calibrated_country_scenario_analysis,-0.23642565788214936,0.09938580999704545,-0.1174780742501403,-0.0690600907261397,0.18821761528527947,0.615723811813051,-0.016754387550127873,-0.03360491629109933,0.4970327460119041,0.17944226597793753,0.07639500154087972,-0.15954875544571445,-0.017818132600627902,-0.27960951988896615,0.4550841626580478,0.02998146362956599
