optimization_constraint,strategy,strategy_label,mean_standardized_regret_vs_current,maximum_standardized_regret_vs_current,probability_best_in_draw,probability_within_10_percent_of_best,allowed_in_constraint
future_product_target,combined_strategy,Combined,0.01010909017321179,0.23863697856658475,0.77421875,0.86015625,TRUE
future_product_target,maternal_immunization,Infant exposure,0.4711428589706901,0.8139339084456677,0,0.0015625,TRUE
future_product_target,next_generation_vaccine,High-blocking,0.07988201429636703,0.42752939755948194,0.225,0.34921875,TRUE
future_product_target,resistance_guided_treatment,Resistance mgmt,0.631315676630007,0.9889764169995712,0,0,TRUE
future_product_target,timeliness_only,Timeliness,0.4322482499483079,0.8024008664994211,7.8125e-4,0.0015625,TRUE
program_only,combined_strategy,Combined,NA,NA,NA,NA,FALSE
program_only,maternal_immunization,Infant exposure,0.07525257000777623,0.41603769763716913,0.28125,0.515625,TRUE
program_only,next_generation_vaccine,High-blocking,NA,NA,NA,NA,FALSE
program_only,resistance_guided_treatment,Resistance mgmt,NA,NA,NA,NA,FALSE
program_only,timeliness_only,Timeliness,0.03635796098539397,0.6294789835053025,0.71015625,0.8453125,TRUE
program_plus_resistance,combined_strategy,Combined,NA,NA,NA,NA,FALSE
program_plus_resistance,maternal_immunization,Infant exposure,0.07843088762887503,0.5193264839275838,0.2625,0.496875,TRUE
program_plus_resistance,next_generation_vaccine,High-blocking,NA,NA,NA,NA,FALSE
program_plus_resistance,resistance_guided_treatment,Resistance mgmt,0.2386037052881919,0.8897028729328879,0.04375,0.0828125,TRUE
program_plus_resistance,timeliness_only,Timeliness,0.03953627860649277,0.6294789835053025,0.6859375,0.82734375,TRUE
