analysis_window,scenario,median_rank,countries_ranked_first,median_relative_reduction_infant_cases
2025_2029,combined_strategy,1.5,5,0.989345146048831
2025_2029,next_generation_vaccine,2.0,3,0.9771477529727945
2025_2029,maternal_immunization,3.0,0,0.58408428874604
2025_2029,cocooning_adjunct,4.0,0,0.5164080579416848
2025_2029,adolescent_booster,6.0,0,0.17000312479009577
2025_2029,pregnancy_tdap_scaleup,6.0,0,0.12109471561856439
2025_2029,targeted_pep_high_risk,7.0,2,0.11190372078289368
2025_2029,resistance_guided_treatment,7.5,0,0.0897391954320565
2025_2029,current,8.0,0,0.0
2025_2029,higher_child_coverage,9.0,0,-0.05832432816855038
2025_2034,combined_strategy,1.0,7,0.988364528456296
2025_2034,next_generation_vaccine,2.0,3,0.9764594847283976
2025_2034,maternal_immunization,3.0,0,0.5542312313528472
2025_2034,cocooning_adjunct,5.0,0,0.4800453636183009
2025_2034,resistance_guided_treatment,5.5,0,0.4581700084933015
2025_2034,pregnancy_tdap_scaleup,7.0,0,0.12150441936255274
2025_2034,targeted_pep_high_risk,7.0,0,0.09082908198435824
2025_2034,adolescent_booster,7.5,0,0.028676601295704096
2025_2034,current,8.5,0,0.0
2025_2034,higher_child_coverage,10.0,0,-0.012791639010039435
2025_2039,combined_strategy,1.0,8,0.9877808513582342
2025_2039,next_generation_vaccine,2.0,2,0.9752501397840516
2025_2039,maternal_immunization,3.0,0,0.4565863768784312
2025_2039,resistance_guided_treatment,4.5,0,0.38911068524974735
2025_2039,cocooning_adjunct,5.0,0,0.36786694615792787
2025_2039,pregnancy_tdap_scaleup,6.5,0,0.12223489283435718
2025_2039,adolescent_booster,7.5,0,0.004358289048787101
2025_2039,targeted_pep_high_risk,8.0,0,0.07148262794622262
2025_2039,current,8.5,0,0.0
2025_2039,higher_child_coverage,10.0,0,-0.013574635068355656
2025_2050_full_horizon,combined_strategy,1.0,8,0.9873337703007654
2025_2050_full_horizon,next_generation_vaccine,2.0,2,0.9738305717511331
2025_2050_full_horizon,maternal_immunization,3.0,0,0.4547166852628926
2025_2050_full_horizon,resistance_guided_treatment,4.0,0,0.4053228440611805
2025_2050_full_horizon,cocooning_adjunct,5.0,0,0.36709861280501677
2025_2050_full_horizon,pregnancy_tdap_scaleup,6.0,0,0.12320998392840588
2025_2050_full_horizon,targeted_pep_high_risk,7.5,0,0.04571792420570586
2025_2050_full_horizon,adolescent_booster,8.0,0,0.019469825457037293
2025_2050_full_horizon,current,8.0,0,0.0
2025_2050_full_horizon,higher_child_coverage,10.0,0,-0.010991331607274057
2030_2050_excluding_initial_transient,combined_strategy,1.0,8,0.9867078362130427
2030_2050_excluding_initial_transient,next_generation_vaccine,2.0,2,0.9725063458355239
2030_2050_excluding_initial_transient,resistance_guided_treatment,3.0,0,0.4392977774649794
2030_2050_excluding_initial_transient,maternal_immunization,4.0,0,0.4304588567731776
2030_2050_excluding_initial_transient,cocooning_adjunct,5.0,0,0.339429836100949
2030_2050_excluding_initial_transient,pregnancy_tdap_scaleup,6.0,0,0.1237625957895952
2030_2050_excluding_initial_transient,targeted_pep_high_risk,7.5,0,0.04107544752309228
2030_2050_excluding_initial_transient,adolescent_booster,8.0,0,0.0016335196882731329
2030_2050_excluding_initial_transient,current,9.0,0,0.0
2030_2050_excluding_initial_transient,higher_child_coverage,9.5,0,-0.009966330738584328
