portfolio,timeliness_applied,resistance_guided,program_layers,implementation_intensity,median_infant_cases_per_100k,median_relative_reduction_infant_cases,iqr_relative_reduction_infant_cases,countries_with_positive_infant_reduction,median_relative_reduction_resistant_infections,countries_ranked_first_infant_cases,countries,implementation_note
timeliness_infant_exposure_targeted_pep_resistance_guided,True,True,maternal_immunization;targeted_pep_high_risk;resistance_guided_treatment,7,68.71913699442032,0.8297901658003937,0.6471 to 0.9377,10,0.9198844483029678,10,10,"Routine timeliness plus infant-exposure reduction, targeted PEP, and resistance-guided management."
timeliness_infant_exposure_resistance_guided,True,True,maternal_immunization;resistance_guided_treatment,6,76.81148071163719,0.809919511865002,0.6055 to 0.9375,10,0.97713921936941,0,10,Routine timeliness plus infant-exposure reduction and resistance-guided management.
infant_exposure_resistance_guided,False,True,maternal_immunization;resistance_guided_treatment,5,118.53502263004589,0.7010442285869604,0.412 to 0.8767,10,0.9744080165631792,0,10,Infant-exposure reduction plus resistance-guided management.
timeliness_infant_exposure_targeted_pep,True,False,maternal_immunization;targeted_pep_high_risk,5,123.8734733941105,0.6491772821006903,0.5474 to 0.9066,10,0.29124693981097155,0,10,Routine timeliness plus infant-exposure reduction and targeted high-risk PEP.
timeliness_infant_exposure,True,False,maternal_immunization,4,129.16505576650226,0.6436501358315145,0.5089 to 0.9051,10,0.31255729151988376,0,10,Routine timeliness plus infant-exposure reduction composite.
routine_timeliness_resistance_guided,True,True,resistance_guided_treatment,3,143.63647994070703,0.5826210090231954,0.4568 to 0.7769,10,0.9532238527968636,0,10,Routine timeliness plus resistance-guided management.
infant_exposure,False,False,maternal_immunization,3,208.84457855633266,0.4488398383739333,0.2532 to 0.771,10,0.22867502286029862,0,10,Infant-exposure reduction composite without routine timeliness changes.
timeliness_pregnancy_tdap,True,False,pregnancy_tdap_scaleup,2,186.79525695842557,0.4482106016335389,0.3989 to 0.5949,10,0.0995034802046651,0,10,Routine timeliness plus pregnancy Tdap scale-up.
timeliness_targeted_pep,True,False,targeted_pep_high_risk,2,217.44720252263022,0.3742852444105712,0.3445 to 0.548,10,0.0765704595351534,0,10,Routine timeliness plus targeted high-risk PEP.
routine_timeliness,True,False,,1,220.7591435664873,0.34618341601130853,0.3093 to 0.5136,10,0.09030957151031244,0,10,Routine timeliness improvement only.
current,False,False,,0,338.1367382718744,0.0,0 to 0,0,0.0,0,10,Current practice.
